time,temperature,setpoint
2024-07-02 19:08:47.840467,46.00,45.5
2024-07-02 19:08:56.705949,46.00,45.5
2024-07-02 19:09:05.571115,46.00,45.5
2024-07-02 19:09:14.435863,46.02,45.5
2024-07-02 19:09:23.302069,46.02,45.5
2024-07-02 19:09:32.167622,46.03,45.5
2024-07-02 19:09:41.033472,46.01,45.5
2024-07-02 19:09:49.899348,46.00,45.5
2024-07-02 19:09:58.764982,46.00,45.5
2024-07-02 19:10:07.630363,46.03,45.5
2024-07-02 19:10:16.496214,46.02,45.5
2024-07-02 19:10:25.362138,46.06,45.5
2024-07-02 19:10:34.227979,46.06,45.5
2024-07-02 19:10:43.093709,46.06,45.5
2024-07-02 19:10:51.959543,46.06,45.5
2024-07-02 19:11:00.825095,46.06,45.5
2024-07-02 19:11:09.690893,46.00,45.5
2024-07-02 19:11:18.556748,45.99,45.5
2024-07-02 19:11:27.422197,45.94,45.5
2024-07-02 19:11:36.287867,45.93,45.5
2024-07-02 19:11:45.153797,45.88,45.5
2024-07-02 19:11:54.019350,45.88,45.5
2024-07-02 19:12:02.885050,45.84,45.5
2024-07-02 19:12:11.750310,45.81,45.5
2024-07-02 19:12:20.615782,45.81,45.5
2024-07-02 19:12:29.481499,45.75,45.5
2024-07-02 19:12:38.347025,45.75,45.5
2024-07-02 19:12:47.212726,45.72,45.5
2024-07-02 19:12:56.078166,45.69,45.5
2024-07-02 19:13:04.943662,45.69,45.5
2024-07-02 19:13:13.808945,45.64,45.5
2024-07-02 19:13:22.674225,45.63,45.5
2024-07-02 19:13:31.539222,45.63,45.5
2024-07-02 19:13:40.404262,45.59,45.5
2024-07-02 19:13:49.269821,45.56,45.5
2024-07-02 19:13:58.135275,45.56,45.0
2024-07-02 19:14:07.000853,45.53,45.0
2024-07-02 19:14:15.866213,45.50,45.0
2024-07-02 19:14:24.731368,45.44,45.0
2024-07-02 19:14:33.596488,45.43,45.0
2024-07-02 19:14:42.461508,45.37,45.0
2024-07-02 19:14:51.326848,45.37,45.0
2024-07-02 19:15:00.191951,45.37,45.0
2024-07-02 19:15:09.056706,45.31,45.0
2024-07-02 19:15:17.921042,45.07,45.0
2024-07-02 19:15:26.785532,44.90,45.0
2024-07-02 19:15:35.650226,44.94,45.0
2024-07-02 19:15:44.514466,44.87,45.0
2024-07-02 19:15:53.379050,44.87,45.0
2024-07-02 19:16:02.243373,44.87,45.0
2024-07-02 19:16:11.107747,44.81,45.0
2024-07-02 19:16:19.972407,44.81,45.0
2024-07-02 19:16:28.836232,44.81,45.0
2024-07-02 19:16:37.701105,44.87,45.0
2024-07-02 19:16:46.565494,44.87,45.0
2024-07-02 19:16:55.429796,44.85,45.0
2024-07-02 19:17:04.294022,44.81,45.0
2024-07-02 19:17:13.158017,44.81,45.0
2024-07-02 19:17:22.021741,44.81,45.0
2024-07-02 19:17:30.885251,44.80,45.0
2024-07-02 19:17:39.748999,44.75,45.0
2024-07-02 19:17:48.612952,44.75,45.0
2024-07-02 19:17:57.476587,44.75,45.0
2024-07-02 19:18:06.340729,44.79,45.0
2024-07-02 19:18:15.204287,44.81,45.0
2024-07-02 19:18:24.068336,44.75,45.0
2024-07-02 19:18:32.932254,44.72,45.0
2024-07-02 19:18:41.795748,44.68,45.0
