time,temperature,setpoint
2024-07-02 18:59:20.473365,46.25,46.0
2024-07-02 18:59:29.338618,46.19,46.0
2024-07-02 18:59:38.204317,46.19,46.0
2024-07-02 18:59:47.070175,46.13,46.0
2024-07-02 18:59:55.936083,46.12,46.0
2024-07-02 19:00:04.801452,46.06,46.0
2024-07-02 19:00:13.667352,46.06,46.0
2024-07-02 19:00:22.533311,46.06,46.0
2024-07-02 19:00:31.399122,46.06,46.0
2024-07-02 19:00:40.264868,46.03,46.0
2024-07-02 19:00:49.130389,46.01,46.0
2024-07-02 19:00:57.995922,46.00,46.0
2024-07-02 19:01:06.861319,46.00,46.0
2024-07-02 19:01:15.727285,45.96,46.0
2024-07-02 19:01:24.592298,45.94,46.0
2024-07-02 19:01:33.456991,45.93,46.0
2024-07-02 19:01:42.322381,45.92,46.0
2024-07-02 19:01:51.187252,45.92,46.0
2024-07-02 19:02:00.052484,45.88,46.0
2024-07-02 19:02:08.917775,45.88,46.0
2024-07-02 19:02:17.782920,45.88,46.0
2024-07-02 19:02:26.647398,45.87,46.0
2024-07-02 19:02:35.512584,45.86,46.0
2024-07-02 19:02:44.377341,45.84,46.0
2024-07-02 19:02:53.242282,45.81,46.0
2024-07-02 19:03:02.106897,45.81,46.0
2024-07-02 19:03:10.971751,45.81,46.0
2024-07-02 19:03:19.836832,45.81,46.0
2024-07-02 19:03:28.701738,45.81,46.0
2024-07-02 19:03:37.566104,45.81,46.0
2024-07-02 19:03:46.431339,45.81,46.0
2024-07-02 19:03:55.296286,45.81,46.0
2024-07-02 19:04:04.160838,45.81,46.0
2024-07-02 19:04:13.025699,45.83,46.0
2024-07-02 19:04:21.890539,45.85,46.0
2024-07-02 19:04:30.755712,45.88,46.0
2024-07-02 19:04:39.621145,45.86,46.0
2024-07-02 19:04:48.486021,45.87,46.0
2024-07-02 19:04:57.350582,45.87,46.0
2024-07-02 19:05:06.215399,45.87,46.0
2024-07-02 19:05:15.080461,45.88,46.0
2024-07-02 19:05:23.945356,45.88,46.0
2024-07-02 19:05:32.810122,45.88,46.0
2024-07-02 19:05:41.674858,45.88,46.0
2024-07-02 19:05:50.540057,45.88,46.0
2024-07-02 19:05:59.405256,45.88,46.0
2024-07-02 19:06:08.270198,45.89,46.0
2024-07-02 19:06:17.134961,45.91,46.0
2024-07-02 19:06:26.000124,45.93,46.0
2024-07-02 19:06:34.865044,45.93,46.0
2024-07-02 19:06:43.730008,45.93,46.0
2024-07-02 19:06:52.595163,45.93,46.0
2024-07-02 19:07:01.460127,45.94,46.0
2024-07-02 19:07:10.325511,45.94,46.0
2024-07-02 19:07:19.190083,45.94,46.0
2024-07-02 19:07:28.055145,45.94,46.0
2024-07-02 19:07:36.920199,45.94,46.0
2024-07-02 19:07:45.784943,45.94,46.0
2024-07-02 19:07:54.649919,45.94,46.0
2024-07-02 19:08:03.515209,45.97,46.0
