time,temperature,setpoint
2024-07-02 17:53:56.906263,53.86,55.0
2024-07-02 17:54:14.781630,53.91,55.0
2024-07-02 17:54:32.657542,53.76,55.0
2024-07-02 17:54:50.534326,54.42,55.0
2024-07-02 17:55:08.412665,56.14,55.0
2024-07-02 17:55:26.293195,57.66,55.0
2024-07-02 17:55:44.169372,54.06,55.0
2024-07-02 17:56:02.042128,52.27,55.0
2024-07-02 17:56:19.914226,52.19,55.0
2024-07-02 17:56:37.786642,52.18,55.0
2024-07-02 17:56:55.660940,53.61,55.0
2024-07-02 17:57:13.539214,57.36,55.0
2024-07-02 17:57:31.420161,58.61,55.0
2024-07-02 17:57:49.301404,58.97,55.0
2024-07-02 17:58:07.182921,59.24,55.0
2024-07-02 17:58:25.064035,58.97,55.0
2024-07-02 17:58:42.945738,58.97,55.0
2024-07-02 17:59:00.827389,58.59,55.0
2024-07-02 17:59:18.708911,58.32,55.0
2024-07-02 17:59:36.589898,58.57,55.0
2024-07-02 17:59:54.470873,58.22,55.0
2024-07-02 18:00:12.351644,58.24,55.0
2024-07-02 18:00:30.232190,58.33,55.0
2024-07-02 18:00:48.112801,58.59,55.0
2024-07-02 18:01:05.993791,58.96,55.0
2024-07-02 18:01:23.874895,59.01,55.0
2024-07-02 18:01:41.756566,59.11,55.0
2024-07-02 18:01:59.638408,59.51,55.0
